time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-03T10:45:23.610Z,37.5890007,-121.7008362,2.37,1.65,md,17,140,0.0555,0.1,nc,nc72796220,2017-05-03T11:45:03.926Z,"11km SSE of Livermore, California",earthquake,0.48,1.07,0.19,14,automatic,nc,nc
2017-05-03T10:43:26.490Z,59.718,-136.7939,0.1,3,ml,,,,0.88,ak,ak15886857,2017-05-03T10:51:20.864Z,"88km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-03T10:39:57.497Z,59.8708,-136.8378,0,1.9,ml,,,,0.83,ak,ak15886856,2017-05-03T10:44:15.727Z,"97km WNW of Skagway, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-05-03T10:31:21.433Z,59.7799,-136.6992,0.1,1.7,ml,,,,0.75,ak,ak15886854,2017-05-03T10:38:54.346Z,"86km WNW of Skagway, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-05-03T10:29:10.117Z,59.4886,-136.7279,34.3,2,ml,,,,1.01,ak,ak15886852,2017-05-03T10:34:03.861Z,"78km WNW of Haines, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-05-03T10:26:05.110Z,38.8433342,-122.824501,1.58,0.68,md,7,92,0.009801,0.01,nc,nc72796215,2017-05-03T11:19:01.849Z,"9km WNW of Cobb, California",earthquake,0.44,0.82,0.11,2,automatic,nc,nc
2017-05-03T10:24:39.310Z,38.8426666,-122.8258362,1.56,1.3,md,22,52,0.008566,0.04,nc,nc72796210,2017-05-03T10:54:02.808Z,"9km WNW of Cobb, California",earthquake,0.19,0.35,0.2,8,automatic,nc,nc
2017-05-03T10:23:26.320Z,33.7213333,-116.7666667,16.2,0.04,ml,18,191,0.04492,0.09,ci,ci37638743,2017-05-03T18:23:30.566Z,"4km SW of Idyllwild-Pine Cove, California",earthquake,0.26,0.37,0.124,9,reviewed,ci,ci
2017-05-03T10:21:37.922Z,38.3937,-118.927,7.7,1.3,ml,12,84.55,0.142,0.1515,nn,nn00587816,2017-05-03T16:55:59.421Z,"30km WSW of Hawthorne, Nevada",earthquake,,2.2,0.25,6,reviewed,nn,nn
2017-05-03T10:21:13.260Z,59.8689,-136.8005,0,1.5,ml,,,,1.04,ak,ak15886851,2017-05-03T10:27:29.034Z,"95km WNW of Skagway, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-05-03T10:20:14.440Z,33.9336667,-116.8546667,0.95,0.42,ml,11,142,0.1085,0.23,ci,ci37638735,2017-05-03T10:24:00.791Z,"2km ENE of Banning, California",earthquake,0.48,0.67,0.168,7,automatic,ci,ci
2017-05-03T10:05:04.031Z,59.7984,-136.5681,4.7,1.7,ml,,,,0.46,ak,ak15886848,2017-05-03T10:12:48.704Z,"80km WNW of Skagway, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-05-03T10:04:10.614Z,59.8067,-153.3242,134,2.6,ml,,,,0.98,ak,ak15886846,2017-05-03T10:12:48.436Z,"82km SSW of Redoubt Volcano, Alaska",earthquake,,0.7,,,automatic,ak,ak
